0
allianz-cup
belgian-supercup
bundesliga
community-shield
copa-del-rey
dfb-pokal
dfl-supercup
efl-cup
eredivisie
europa-league
europa-league-qualifikation
fa-cup
fifa-klub-wm
italy-cup
johan-cruijff-schaal
jupiler-pro-league
kypello-elladas
laliga
liga-portugal-bwin
ligue-1
premier-league
premier-liga
russian-cup
russian-super-cup
scottish-premiership
serie-a
sfa-cup
super-league-1
super-lig
supercopa
supercoppa-italiana
superligaen
supertaca-candido-de-oliveira
sydbank-pokalen
toto-knvb-beker
trophee-des-champions
uefa-champions-league
uefa-champions-league-qualifikation
uefa-europa-conference-league-qualifikation
uefa-super-cup
ukrainian-cup
ukrainian-super-cup
